                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.75961,                0.46707,                 1.0804,                  0.954,                0.96005,                0.96369,                0.73571,                 0.9705,                0.43666,                 1.2616,             0.00013468,             0.00013468,             0.00013468
                     70,                0.75507,                0.44812,                  1.082,                0.94838,                0.95201,                0.96319,                0.73836,                0.96983,                 0.4357,                 1.2487,             0.00013072,             0.00013072,             0.00013072
                     71,                0.76106,                0.45498,                  1.083,                 0.9481,                0.95495,                0.96632,                0.74184,                0.95797,                0.42685,                 1.2481,             0.00012676,             0.00012676,             0.00012676
                     72,                0.74818,                 0.4494,                 1.0809,                0.95942,                 0.9459,                0.96494,                0.73511,                0.96155,                0.42896,                 1.2499,              0.0001228,              0.0001228,              0.0001228
                     73,                0.74157,                0.44516,                 1.0705,                0.95936,                0.95114,                 0.9657,                 0.7342,                0.99119,                0.42731,                 1.2671,             0.00011884,             0.00011884,             0.00011884
                     74,                0.73896,                0.43798,                 1.0735,                0.95461,                 0.9494,                0.96411,                0.73931,                0.96172,                0.42864,                 1.2554,             0.00011488,             0.00011488,             0.00011488
                     75,                 0.7418,                0.44319,                 1.0741,                 0.9543,                 0.9502,                0.96291,                0.73652,                0.96573,                0.42881,                 1.2573,             0.00011092,             0.00011092,             0.00011092
                     76,                0.73162,                0.44063,                 1.0676,                0.96031,                 0.9498,                0.96599,                0.74359,                0.95883,                0.42866,                 1.2469,             0.00010696,             0.00010696,             0.00010696
                     77,                0.72864,                0.43113,                 1.0682,                0.95774,                0.95218,                0.96688,                 0.7396,                0.97046,                0.42622,                 1.2618,               0.000103,               0.000103,               0.000103
                     78,                0.71508,                0.42422,                 1.0579,                0.95133,                0.94968,                0.96593,                0.74123,                0.96155,                 0.4279,                 1.2627,              9.904e-05,              9.904e-05,              9.904e-05
                     79,                0.72631,                0.42936,                 1.0654,                0.94533,                0.95764,                0.96187,                0.73695,                0.96793,                0.43123,                 1.2635,              9.508e-05,              9.508e-05,              9.508e-05
                     80,                0.70995,                0.41294,                 1.0579,                0.95732,                0.95678,                0.96898,                0.74129,                0.96999,                0.42031,                 1.2712,              9.112e-05,              9.112e-05,              9.112e-05
                     81,                0.70003,                 0.4138,                  1.053,                0.95241,                0.95172,                0.96257,                0.73503,                0.97147,                0.43331,                 1.2658,              8.716e-05,              8.716e-05,              8.716e-05
                     82,                0.69557,                 0.4128,                 1.0526,                0.96207,                0.94144,                0.96555,                0.74051,                0.97175,                0.42885,                 1.2697,               8.32e-05,               8.32e-05,               8.32e-05
                     83,                0.70046,                0.41119,                 1.0627,                0.95189,                0.95594,                0.96647,                0.74199,                0.98054,                0.42426,                 1.2775,              7.924e-05,              7.924e-05,              7.924e-05
                     84,                0.70115,                0.41113,                 1.0573,                0.96101,                 0.9448,                0.96598,                0.74506,                0.97246,                0.42749,                 1.2723,              7.528e-05,              7.528e-05,              7.528e-05
                     85,                0.68678,                0.40174,                 1.0498,                0.96247,                 0.9407,                0.96829,                0.74137,                0.97344,                0.42619,                 1.2796,              7.132e-05,              7.132e-05,              7.132e-05
                     86,                0.68493,                0.39828,                 1.0471,                0.95624,                0.94729,                 0.9674,                0.74234,                 0.9791,                 0.4302,                 1.2767,              6.736e-05,              6.736e-05,              6.736e-05
                     87,                0.69271,                0.41423,                   1.05,                0.96509,                0.94919,                0.97014,                0.74285,                0.98173,                0.42123,                 1.2784,               6.34e-05,               6.34e-05,               6.34e-05
                     88,                0.68462,                0.39925,                 1.0458,                0.95526,                0.94996,                0.96825,                0.74265,                0.97666,                0.42774,                 1.2839,              5.944e-05,              5.944e-05,              5.944e-05
                     89,                0.67098,                0.38916,                 1.0424,                0.96586,                0.94325,                 0.9669,                0.74494,                0.96923,                0.41876,                 1.2797,              5.548e-05,              5.548e-05,              5.548e-05
                     90,                0.67943,                 0.3943,                 1.0442,                0.96341,                0.95295,                0.96856,                0.74476,                0.97271,                0.41812,                  1.281,              5.152e-05,              5.152e-05,              5.152e-05
                     91,                0.58268,                0.28183,                 1.0106,                0.96354,                 0.9492,                0.95957,                0.72641,                0.99062,                0.43669,                 1.3033,              4.756e-05,              4.756e-05,              4.756e-05
                     92,                0.56458,                0.26094,                 1.0001,                0.96064,                 0.9504,                0.96195,                 0.7356,                0.97654,                0.42762,                 1.2938,               4.36e-05,               4.36e-05,               4.36e-05
                     93,                0.55191,                0.26037,                0.99253,                0.95691,                0.94185,                0.96276,                0.73811,                0.98144,                0.43004,                 1.2991,              3.964e-05,              3.964e-05,              3.964e-05
                     94,                 0.5455,                0.25804,                0.99601,                0.95363,                0.94884,                0.96465,                0.73789,                0.97612,                0.43259,                 1.2972,              3.568e-05,              3.568e-05,              3.568e-05
                     95,                0.54379,                0.25366,                0.98901,                0.96391,                0.94205,                0.96627,                0.74138,                0.96596,                0.42673,                 1.2921,              3.172e-05,              3.172e-05,              3.172e-05
                     96,                0.53623,                0.25201,                0.98182,                0.96681,                0.93957,                0.96548,                0.73883,                0.97727,                0.42501,                 1.2988,              2.776e-05,              2.776e-05,              2.776e-05
                     97,                0.52963,                0.24778,                0.98618,                0.96303,                0.93955,                0.96491,                0.74138,                0.97952,                0.42999,                 1.3042,               2.38e-05,               2.38e-05,               2.38e-05
                     98,                0.52693,                0.24678,                0.98254,                0.96641,                0.93778,                0.96644,                0.74176,                0.98315,                0.43143,                 1.3008,              1.984e-05,              1.984e-05,              1.984e-05
                     99,                0.52686,                0.24528,                0.98143,                0.96508,                0.93881,                0.96675,                 0.7437,                0.97852,                0.42591,                 1.3007,              1.588e-05,              1.588e-05,              1.588e-05
                    100,                0.51472,                0.23941,                0.97173,                0.96632,                0.94053,                0.96646,                0.74187,                0.98246,                0.42758,                 1.3067,              1.192e-05,              1.192e-05,              1.192e-05
